Time (ps),Density (g/ml),Protein RMSD (nm),Protein Dipole (Debye),Ca-Total Protein O CN (0.3nm),Ca-Carboxylate O CN
572.0000017053641,1.0213404392232333,0.17727223,,25,19
573.0000017083455,1.022514881145682,0.17690606,,24,18
574.000001711327,1.022937171798061,0.18147734,,24,18
575.0000017143084,1.0206258590996824,0.17332086,,25,19
576.0000017172897,1.0205583017499869,0.18343776,,25,19
577.0000017202711,1.0195637699906517,0.1872165,,25,19
578.0000017232526,1.0189376633058373,0.1871768,,25,19
579.0000017262339,1.0184716964358216,0.18355837,,25,19
580.0000017292153,1.0210521072970573,0.19202435,,25,19
581.0000017321968,1.0198778035725162,0.19518903,,25,19
582.0000017351782,1.0178140054723401,0.2023139,,25,19
583.0000017381595,1.0196834866488311,0.19497542,,25,19
584.000001741141,1.022979360914106,0.1887708,,25,19
585.0000017441224,1.0221368093885992,0.19277819,,25,19
586.0000017471037,1.0212707139807429,0.1897846,,25,19
587.0000017500852,1.0252390716338837,0.19692023,,26,20
588.0000017530666,1.0258748464960024,0.19394812,,25,19
589.000001756048,1.0225248953359134,0.18933377,,25,19
590.0000017590294,1.023353627184585,0.19447473,,25,19
591.0000017620108,1.0232365009907982,0.2001986,,25,19
592.0000017649922,1.0232082773060769,0.20837386,,25,19
593.0000017679737,1.0226814499408807,0.19916481,,25,19
594.000001770955,1.0233649714365685,0.20023462,,25,19
595.0000017739364,1.0225393897902235,0.19313315,,25,19
596.0000017769179,1.0217086411030105,0.19118425,,25,19
597.0000017798992,1.0238336619407384,0.19548565,,25,19
598.0000017828806,1.021102873202183,0.1912299,,25,19
599.0000017858621,1.0194309484404467,0.18541668,,25,19
600.0000017888435,1.0178975610737295,0.19251782,,25,19
601.0000017918248,1.0155988012182031,0.19453916,,25,19
602.0000017948063,1.0168902651492664,0.18804024,,25,19
603.0000017977877,1.0183351331136221,0.18806525,,25,19
604.000001800769,1.0150604885224037,0.19104679,,25,19
605.0000018037505,1.0190373442085197,0.18939057,,25,19
606.0000018067319,1.0193280669722062,0.17945878,,25,19
607.0000018097134,1.019329116713194,0.18722868,,25,19
608.0000018126947,1.02032964991381,0.19522615,,25,19
609.0000018156761,1.021463592136068,0.19627267,,25,19
610.0000018186576,1.0233148469383466,0.19187635,,26,20
611.000001821639,1.0225088199888055,0.19244842,,25,19
612.0000018246203,1.0223238459821307,0.19389144,,25,19
613.0000018276017,1.01986782393335,0.1911941,,25,19
614.0000018305832,1.0221573548397498,0.19923295,,25,19
615.0000018335645,1.0187842325909187,0.19609176,,25,19
616.000001836546,1.022148399062577,0.19048192,,25,19
617.0000018395274,1.0222751066992826,0.18957944,,25,19
618.0000018425088,1.0213809617141574,0.19010878,,25,19
619.0000018454901,1.0185970101762154,0.18699092,,25,19
620.0000018484716,1.0162535385871798,0.18779859,,25,19
621.000001851453,1.0181236523222759,0.18894139,,25,19
622.0000018544343,1.018317310911254,0.18958195,,25,19
623.0000018574158,1.0194973563315193,0.18816838,,25,19
624.0000018603972,1.0191567160790254,0.18457857,,25,19
625.0000018633787,1.0220656947709184,0.19250098,,25,19
626.00000186636,1.0205435818734945,0.19577138,,25,19
627.0000018693414,1.0216841590037353,0.19591178,,25,19
628.0000018723229,1.022427130809178,0.2003921,,25,19
629.0000018753043,1.022275633593882,0.20389065,,25,19
630.0000018782856,1.0207276006781307,0.1987539,,25,19
631.000001881267,1.0217004803163416,0.19890392,,25,19
632.0000018842485,1.0213038655687359,0.20293622,,25,19
633.0000018872298,1.021247298247539,0.20690253,,25,19
634.0000018902113,1.0219387584085207,0.20457053,,25,19
635.0000018931927,1.022333857677851,0.21411411,,25,19
636.0000018961741,1.0243316950982169,0.2044659,,25,19
637.0000018991554,1.0215396515798416,0.20523758,,25,19
638.0000019021369,1.0227286334367875,0.20796296,,25,19
639.0000019051183,1.022471136479554,0.20620184,,25,19
640.0000019080996,1.022690675535827,0.20565233,,25,19
641.0000019110811,1.0224605959692297,0.2078875,,25,19
642.0000019140625,1.0215638658593018,0.20522492,,25,19
643.000001917044,1.0215622866438359,0.20450552,,25,19
644.0000019200253,1.0187317847116821,0.20502658,,25,19
645.0000019230067,1.0216088748684604,0.20546508,,25,19
646.0000019259882,1.0214404336666796,0.20132127,,24,18
647.0000019289696,1.0212691353694847,0.20416549,,25,19
648.0000019319509,1.0184743178516633,0.19921735,,25,19
649.0000019349324,1.0210360628145043,0.19465831,,25,19
650.0000019379138,1.0215288606800768,0.1967714,,25,19
651.0000019408951,1.0235077122822227,0.19582275,,25,19
652.0000019438766,1.0218181620042266,0.1957625,,25,19
653.000001946858,1.0199789204172196,0.19747405,,25,19
654.0000019498394,1.0221394433900268,0.19020842,,25,19
655.0000019528208,1.020000984050618,0.19596784,,25,19
656.0000019558022,1.0219798392457955,0.20102282,,25,19
657.0000019587836,1.0205346449437336,0.2069563,,25,19
658.0000019617651,1.0247378072695885,0.21100238,,25,19
659.0000019647464,1.0227452406091415,0.20535919,,25,19
660.0000019677278,1.0235370025030226,0.20039435,,25,19
661.0000019707093,1.0209371730977865,0.19996032,,25,19
662.0000019736906,1.0208819476968396,0.2011193,,25,19
663.000001976672,1.0201402097462071,0.19597432,,25,19
664.0000019796535,1.021030276362294,0.1990602,,25,19
665.0000019826349,1.020226384756456,0.2037007,,25,19
666.0000019856162,1.0198063732352747,0.2012122,,25,19
667.0000019885977,1.0200128041159917,0.19859232,,25,19
668.0000019915791,1.0220609540309697,0.19660288,,24,18
669.0000019945604,1.0189158926281168,0.1994391,,25,19
670.0000019975419,1.019676397640478,0.19629408,,25,19
671.0000020005233,1.0207357511053206,0.19203995,,25,19
672.0000020035047,1.0190168823311665,0.19567665,,25,19
673.000002006486,1.0202224436143266,0.18885376,,25,19
674.0000020094675,1.0174217569347206,0.18718943,,25,19
675.0000020124489,1.0153131504876458,0.17863193,,24,18
676.0000020154304,1.0135616427098828,0.1882291,,25,19
677.0000020184117,1.0169297675541393,0.18654105,,24,18
678.0000020213931,1.0179305667462812,0.18842454,,24,18
679.0000020243746,1.0185146887916983,0.1863992,,24,18
680.0000020273559,1.018974910963806,0.18723637,,25,19
681.0000020303373,1.0195669201889208,0.19384125,,24,18
682.0000020333188,1.0177807429348034,0.18911114,,25,19
683.0000020363002,1.018994847075897,0.19659558,,25,19
684.0000020392815,1.0207709829823761,0.1969364,,24,18
685.000002042263,1.0216438837035964,0.19339593,,25,19
686.0000020452444,1.0217810389836637,0.1934687,,24,18
687.0000020482257,1.0264560491359491,0.1938714,,24,18
688.0000020512072,1.022034090391728,0.19475397,,25,19
689.0000020541886,1.0215836063272765,0.1936594,,25,19
690.00000205717,1.0212709770829356,0.19414742,,25,19
691.0000020601514,1.0213956976968934,0.18769954,,25,19
692.0000020631328,1.0223322768750989,0.18734275,,25,19
693.0000020661142,1.0193928911819026,0.1808884,,24,18
694.0000020690957,1.0204321405651826,0.18969467,,25,19
695.000002072077,1.02215261353292,0.18999337,,25,19
696.0000020750584,1.0198670360726456,0.19066694,,25,19
697.0000020780399,1.020243726022987,0.18891504,,25,19
698.0000020810212,1.0219953768029804,0.19356743,,24,18
699.0000020840026,1.0220928229023087,0.19041373,,25,19
700.0000020869841,1.0236409786176341,0.19400561,,24,18
701.0000020899655,1.0200296151902153,0.19105335,,25,19
702.0000020929468,1.0235275028494977,0.19418535,,25,19
703.0000020959283,1.021382014274952,0.18839446,,25,19
704.0000020989097,1.0215951876385425,0.19357733,,25,19
705.000002101891,1.0247063569562453,0.19404495,,25,19
706.0000021048725,1.02303763844611,0.20036106,,25,19
707.0000021078539,1.022339917451926,0.19768904,,25,19
708.0000021108353,1.0227710747030445,0.19643657,,25,19
709.0000021138167,1.0231056784504697,0.19763109,,25,19
710.0000021167981,1.0215912394445805,0.19673684,,25,19
711.0000021197795,1.0178231725681588,0.19997573,,25,19
712.000002122761,1.0176791309316118,0.2016974,,25,19
713.0000021257423,1.0194422347502767,0.200412,,25,19
714.0000021287237,1.0211183929847245,0.2065417,,25,19
715.0000021317052,1.0201218199945659,0.1988862,,25,19
716.0000021346865,1.0183348710193976,0.2062662,,25,19
717.0000021376679,1.0207475825250023,0.2040607,,25,19
718.0000021406494,1.0201475657706283,0.20355964,,25,19
719.0000021436308,1.0180067995865072,0.20278987,,25,19
720.0000021466121,1.0167163219482511,0.20252264,,25,19
721.0000021495936,1.0182284681949956,0.21024688,,24,18
722.000002152575,1.019836047528628,0.19779429,,25,19
723.0000021555563,1.0225325378322263,0.19872698,,25,19
724.0000021585378,1.0203554026837387,0.20217228,,25,19
725.0000021615192,1.0191323154774925,0.1998744,,25,19
726.0000021645006,1.0211357544701012,0.20489731,,25,19
727.000002167482,1.0203285987987518,0.19933581,,24,18
728.0000021704634,1.0197703979811024,0.19610837,,24,18
729.0000021734448,1.0208138418544341,0.19897172,,25,19
730.0000021764263,1.0205370105914564,0.20125648,,25,19
731.0000021794076,1.0198491781143375,0.20551196,,25,19
732.000002182389,1.0190221289141599,0.20534308,,26,20
733.0000021853705,1.020091346522117,0.2126733,,25,19
